noun,wikipedia
tapping,"Tapping is a playing technique that can be used on any stringed instrument, but which is most commonly used on guitar."
taproot,"A taproot is a large, central, and dominant root from which other roots sprout laterally."
tar,"Tar is a dark brown or black viscous liquid of hydrocarbons and free carbon, obtained from a wide variety of organic materials through destructive distillation."
tarantella,"Tarantella (Italian pronunciation: [taranˈtɛlla]) is a group of various southern Italian folk dances originating in the regions of Calabria, Campania and Puglia."
tarantism,"Tarantism is a form of hysteric behaviour originating in Southern Italy, popularly believed to result from the bite of the wolf spider Lycosa tarantula (distinct from the broad class of spiders also called tarantulas)."
tarantula,Tarantulas comprise a group of large and often hairy spiders of the family Theraphosidae.
tardigrade,"Tardigrades (), known colloquially as water bears or moss piglets, are a phylum of eight-legged segmented micro-animals."
tardiness,Tardiness is the habit of being late or delaying arrival.
tariff,A tariff is a tax imposed by the government of a country or by a supranational union on imports or exports of goods.
tarmacadam,"Tarmacadam is a road surfacing material made by combining tar and macadam (crushed stone and sand), patented by Welsh inventor Edgar Purnell Hooley in 1902."
tarnish,"Tarnish is a thin layer of corrosion that forms over copper, brass, aluminum, magnesium, neodymium and other similar metals as their outermost layer undergoes a chemical reaction."
taro,Taro (; Colocasia esculenta) is a root vegetable.
tarot,"Tarot (, first known as trionfi and later as tarocchi or tarocks) is a pack of playing cards, used from at least the mid-15th century in various parts of Europe to play card games such as  Tarocchini."
tarpan,The term tarpan (Equus ferus ferus) refers to free-ranging horses of the Eurasian steppe from the 18th to the 20th century.
tarpaulin,"A tarpaulin ( tar-PAW-lin, also US: ) or tarp is a large sheet of strong, flexible, water-resistant or waterproof material, often cloth such as canvas or polyester coated with polyurethane, or made of plastics such as polyethylene."
tarpon,Tarpon are fish of the genus Megalops.
tarragon,"Tarragon (Artemisia dracunculus), also known as estragon, is a species of perennial herb in the family Asteraceae."
tarsier,"Tarsiers ( TAR-see-ərz) are haplorhine primates of the family Tarsiidae, which is, itself, the lone extant family within the infraorder Tarsiiformes."
tart,A tart is a baked dish consisting of a filling over a pastry base with an open top not covered with pastry.
tartan,"Tartan (Scottish Gaelic: breacan [ˈpɾʲɛxkən]) is a patterned cloth consisting of criss-crossed, horizontal, and vertical bands in multiple colours, forming simple or complex rectangular patterns."
tartrate,"A tartrate is a salt or ester of the organic compound tartaric acid, a dicarboxylic acid."
tarweed,Tarweed or tarplant is a common name for several plants and may refer to:
tasse,Tasse is a revival of Paul Renner's Steile Futura.
tassel,A tassel is a finishing feature in fabric and clothing decoration.
taste,The gustatory system or sense of taste is the sensory system that is partially responsible for the perception of taste (flavor).
tatting,Tatting is a technique for handcrafting a particularly durable lace from a series of knots and loops.
tattoo,"A tattoo is a form of body modification made by inserting tattoo ink, dyes, and/or pigments, either indelible or temporary, into the dermis layer of the skin to form a design."
tau,"Tau  (uppercase Τ, lowercase τ, or 
  
    
      
        
          τ
        
      
    
    {\displaystyle {\boldsymbol {\tau }}}
  ; Greek: ταυ [taf]) is the nineteenth letter of the Greek alphabet, representing the voiceless dental or alveolar plosive IPA: [t]."
taunting,"A taunt is a battle cry, sarcastic remark, gesture, or insult intended to demoralize the recipient, or to anger them and encourage reactionary behaviors without thinking."
taupe,Taupe (  TOHP) is a dark gray-brown color.
taurine,"Taurine (), or 2-aminoethanesulfonic acid, is a non-proteinogenic amino sulfonic acid that is widely distributed in animal tissues."
tautog,"The tautog (Tautoga onitis), also known as the blackfish, is a species of wrasse native to the western Atlantic Ocean from Nova Scotia to South Carolina."
tavern,"A tavern is a type of business where people gather to drink alcoholic beverages and be served food such as different types of roast meats and cheese, and (mostly historically) where travelers would receive lodging."
taw,"Taw, tav, or taf is the twenty-second and last letter of the Semitic abjads, including Phoenician tāw 𐤕, Hebrew tav ת, Aramaic taw 𐡕‎, Syriac taw ܬ, and Arabic tāʾ ت (22nd in abjadi order, 3rd in modern order)."
tawse,"The tawse, sometimes formerly spelled taws (the plural of Scots taw, a thong of a whip) is an implement used for corporal punishment."
tax,"A tax is a compulsory financial charge or some other type of levy imposed on a taxpayer (an individual or legal entity) by a governmental organization in order to collectively fund government spending, public expenditures, or as a way to regulate and reduce negative externalities."
taxi,"A taxi, also known as a taxicab or simply a cab, is a type of vehicle for hire with a driver, used by a single passenger or small group of passengers, often for a non-shared ride."
taxidermy,"Taxidermy is the art of preserving an animal's body by mounting (over an armature) or stuffing, for the purpose of display or study."
taximeter,A taximeter or fare meter is a mechanical or electronic device installed in taxicabs and auto rickshaws that calculates passenger fares based on a combination of distance travelled and waiting time.
taxis,"A taxis (from Ancient Greek  τάξις (táxis) 'arrangement, order'; pl.: taxes ) is the movement of an organism in response to a stimulus such as light or the presence of food."
taxiway,"A taxiway is a path for aircraft at an airport connecting runways with aprons, hangars, terminals and other facilities."
taxman,"""Taxman"" is a song by the English rock band the Beatles from their 1966 album Revolver."
taxon,"In biology, a taxon (back-formation from taxonomy; pl.: taxa) is a group of one or more populations of an organism or organisms seen by taxonomists to form a unit."
taxonomy,Taxonomy is the practice and science of categorization or classification.
taxpayer,A taxpayer is a person or organization (such as a company) subject to pay a tax.
tayra,"The tayra (Eira barbara) is an omnivorous animal from the weasel family, native to the Americas."
tchotchke,"A tchotchke ( CHOTCH-kə,  CHOTCH-kee) is a small bric-à-brac or miscellaneous item."
tea,"Tea is an aromatic beverage prepared by pouring hot or boiling water over cured or fresh leaves of Camellia sinensis, an evergreen shrub native to East Asia which probably originated in the borderlands of southwestern China and northern Myanmar."
teacake,"A teacake in England is generally a light yeast-based sweet bun containing dried fruit, typically served toasted and buttered."
teacher,"A teacher, also called a schoolteacher or formally an educator, is a person who helps students to acquire knowledge, competence, or virtue, via the practice of teaching."
teaching,"Teaching is the practice implemented by a teacher aimed at transmitting skills (knowledge, know-how, and interpersonal skills) to a learner, a student, or any other audience in the context of an educational institution."
teacup,A  teacup is a cup for drinking tea.
teahouse,A teahouse (mainly Asia) or tearoom (also tea room) is an establishment which primarily serves tea and other light refreshments.
teak,Teak (Tectona grandis) is a tropical hardwood tree species in the family Lamiaceae.
teal,Teal is a greenish-blue color.
team,A team is a group of individuals (human or non-human) working together to achieve their goal.
teamster,"A teamster in American English is a truck driver; a person who drives teams of draft animals; or a member of the International Brotherhood of Teamsters, a labor union."
teamwork,Teamwork is the collaborative effort of a group to achieve a common goal or to complete a task in an effective and efficient way.
teapot,"A teapot is a vessel used for steeping tea leaves or a herbal mix in boiling or near-boiling water, and for serving the resulting infusion which is called tea."
tearing,"Tearing is the act of breaking apart a material by force, without the aid of a cutting tool."
tears,Tears are a clear liquid secreted by the lacrimal glands (tear gland) found in the eyes of all land mammals.
teasing,Teasing  has multiple meanings and uses.
teaspoon,A teaspoon (tsp.) is an item of cutlery.
teat,A teat is the projection from the mammary glands of mammals from which milk flows or is ejected for the purpose of feeding young.
technetium,Technetium is a chemical element; it has symbol Tc and atomic number 43.
technician,"A technician is a worker in a field of technology who is proficient in the relevant skill and technique, with a relatively practical understanding of the theoretical principles."
technicolor,"Technicolor is a series of color motion picture processes, the first version dating back to 1916, and followed by improved versions over several decades."
techno,"Techno is a genre of electronic dance music (EDM) which is generally produced for use in a continuous DJ set, with tempo often varying between 120 and 150 beats per minute (bpm)."
technobabble,"Technobabble (a portmanteau of technology and babble), also called technospeak, is a type of nonsense that consists of buzzwords, esoteric language, or technical jargon."
technocracy,"Technocracy is a form of oligarchy government in which the decision-makers are selected based on their expertise in a given area of responsibility, particularly with regard to scientific or technical knowledge."
technology,"Technology is the application of conceptual knowledge for achieving practical goals, especially in a reproducible way."
technophilia,"Technophilia (from Greek τέχνη - technē, ""art, skill, craft"" and φίλος - philos, ""beloved, dear, friend"") refers generally to a strong attraction for technology, especially new technologies such as personal computers, the Internet, mobile phones, and home cinema."
technophobia,"Technophobia (from Greek τέχνη technē, ""art, skill, craft"" and φόβος phobos, ""fear""), also known as technofear, is the fear or dislike of, or discomfort with, advanced technology or complex devices, especially personal computers, smartphones, and tablet computers."
tectonics,"Tectonics (from Latin  tectonicus; from Ancient Greek  τεκτονικός (tektonikós) 'pertaining to building') are the processes that result in the structure and properties of the Earth's crust and its evolution through time.These processes include those of mountain-building, the growth and behavior of the strong, old cores of continents known as cratons, and the ways in which the relatively rigid plates that constitute the Earth's outer shell interact with each other."
teddy,"Teddy is an English language given name, usually a hypocorism of Edward or Theodore or Theodora."
tee,"A tee is a stand used in sport to support and elevate a stationary ball prior to striking with a foot, club or bat."
teeterboard,The teeterboard or Korean plank is an acrobatic apparatus that resembles a playground seesaw.
teething,"Teething is the process by which an infant's first teeth (the deciduous teeth, often called ""baby teeth"" or ""milk teeth"") appear by emerging through the gums, typically arriving in pairs."
teetotalism,"Teetotalism is the practice or promotion of total personal abstinence from the consumption of alcohol, specifically in alcoholic drinks."
teetotum,A teetotum (or T-totum) is a form of spinning top most commonly used for gambling games.
teff,"Teff (Amharic: ጤፍ), also known as Eragrostis tef, Williams lovegrass,  or annual bunch grass, is an annual grass, a species of lovegrass native to the Horn of Africa, notably to both Eritrea and Ethiopia."
tefillin,"Tefillin (; Israeli Hebrew: תְּפִלִּין‎ / תְּפִילִּין‎; Ashkenazic pronunciation: [tfiˈlin]), or phylacteries, are a set of small black leather boxes with leather straps containing scrolls of parchment inscribed with verses from the Torah."
tektite,"Tektites (from Ancient Greek  τηκτός (tēktós) 'molten') are gravel-sized bodies composed of black, green, brown or grey natural glass formed from terrestrial debris ejected during meteorite impacts."
telamon,"In Greek mythology, Telamon (; Ancient Greek: Τελαμών, Telamōn means ""broad strap"") was the son of King Aeacus of Aegina, and Endeïs, a mountain nymph."
teleconference,A teleconference or telecon is a live exchange of information among several people remote from one another but linked by a telecommunications system.
telegraphist,"A telegraphist (British English), telegrapher (American English), or telegraph operator is an operator who uses a telegraph key to send and receive the Morse code in order to communicate by land lines or radio."
telegraphy,"Telegraphy is the long-distance transmission of messages where the sender uses symbolic codes, known to the recipient, rather than a physical exchange of an object bearing the message."
telekinesis,"Telekinesis (from Ancient Greek  τηλε- 'far off', and  -κίνησις 'motion') is a hypothetical psychic ability allowing an individual to influence a physical system without physical interaction."
telemark,Telemark (pronounced [ˈtêːləmɑrk] ) is a county and a current electoral district in Norway.
telemarketing,"Telemarketing (sometimes known as inside sales, or telesales in the UK and Ireland) is a method of direct marketing in which a salesperson solicits prospective customers to buy products, subscriptions or services, either over the phone or through a subsequent face to face or web conferencing appointment scheduled during the call."
telemetry,Telemetry is the in situ collection of measurements or other data at remote points and their automatic transmission to receiving equipment (telecommunication) for monitoring.
teleology,"Teleology (from τέλος, telos, 'end', 'aim', or 'goal', and λόγος, logos, 'explanation' or 'reason') or finality is a branch of causality giving the reason or an explanation for something as a function of its end, its purpose, or its goal, as opposed to as a function of its cause.A purpose that is imposed by human use, such as the purpose of a fork to hold food, is called extrinsic."
teleost,"Teleostei (; Greek teleios ""complete"" + osteon ""bone""), members of which are known as teleosts (), is, by far, the largest infraclass in the class Actinopterygii, the ray-finned fishes, and contains 96% of all extant species of fish."
telepathy,"Telepathy (from Ancient Greek  τῆλε (têle) 'distant', and  πάθος/-πάθεια (páthos/-pátheia) 'feeling, perception, passion, affliction, experience') is the purported vicarious transmission of information from one person's mind to another's without using any known human sensory channels or physical interaction."
telephone,A telephone is a telecommunications device that permits two or more users to conduct a conversation when they are too far apart to be easily heard directly.
telephony,"Telephony ( tə-LEF-ə-nee) is the field of technology involving the development, application, and deployment of telecommunication services for the purpose of electronic transmission of voice, fax, or data, between distant parties."
teleportation,Teleportation is a fictional transfer of matter or energy from one point to another without traversing the physical space between them.
teleprinter,"A teleprinter (teletypewriter, teletype or TTY) is an electromechanical device that can be used to send and receive typed messages through various communications channels, in both point-to-point and point-to-multipoint configurations."
telerobotics,"Telerobotics is the area of robotics concerned with the control of semi-autonomous robots from a distance, chiefly using television, wireless networks (like Wi-Fi, Bluetooth and the Deep Space Network) or tethered connections."
telescope,"A telescope is a device used to observe distant objects by their emission, absorption, or reflection of electromagnetic radiation."
televangelism,"Televangelism (likely a back-formation from televangelist, itself a portmanteau of ""television"" and ""evangelist""), also sometimes called teleministry, is the use of media, specifically radio and television, to preach religion, and most prominently Christianity."
television,Television (TV) is a telecommunication medium for transmitting moving images and sound.
telex,Telex is a telecommunication service that provides text-based message exchange over the circuits of the public switched telephone network or by private lines.
telfer,"Telfer is a surname, principally of Scottish origin, with the name deriving from Taille-fer (see: Taillefer), the Old French nickname for a strong man or ferocious warrior (taille(r) meaning 'to cut')."
teliospore,"Teliospore (sometimes called  teleutospore) is the thick-walled resting spore of some fungi (rusts and smuts), from which the basidium arises."
tellurium,Tellurium is a chemical element; it has symbol Te and atomic number 52.
telomerase,"Telomerase, also called terminal transferase, is a ribonucleoprotein that adds a species-dependent telomere repeat sequence to the 3' end of telomeres."
telomere,"A telomere (;  from Ancient Greek  τέλος (télos) 'end', and  μέρος (méros) 'part') is a region of repetitive nucleotide sequences associated with specialized proteins at the ends of linear chromosomes (see Sequences)."
telophase,"Telophase (from Ancient Greek  τέλος (télos) 'end, result, completion', and  φάσις (phásis) 'appearance') is the final stage in both meiosis and mitosis in a eukaryotic cell."
temazepam,"Temazepam, sold under the brand name Restoril among others, is a medication of the benzodiazepine class which is generally used to treat severe or debilitating insomnia."
temerity,"Temerity is a section of steep, gladed skiing terrain at Aspen Highlands, one of the four mountains owned and operated by the Aspen Skiing Company in Aspen, Colorado."
tempera,"Tempera (Italian: [ˈtɛmpera]), also known as egg tempera, is a permanent, fast-drying painting medium consisting of pigments mixed with a water-soluble binder medium, usually glutinous material such as egg yolk."
temperament,"In psychology, temperament broadly refers to consistent individual differences in behavior that are biologically based and are relatively independent of learning, system of values and attitudes."
temperature,Temperature is a physical quantity that quantitatively expresses the attribute of hotness or coldness.
temple,A temple (from the Latin templum) is a building reserved for spiritual rituals and activities such as prayer and sacrifice.
tempo,"In musical terminology, tempo (Italian, 'time'; plural tempos, or tempi from the Italian plural) also known as beats per minute, is the speed or pace of a given composition."
temporality,"In philosophy, temporality refers to the idea of a linear progression of past, present, and future."
temptation,Temptation is a desire to engage in short-term urges for enjoyment that threatens long-term goals.
tempura,"Tempura (天ぷら or 天麩羅, tenpura, [tempɯɾa]) is a typical Japanese dish that usually consists of seafood and vegetables that have been coated in a thin batter and deep fried."
tench,The tench or doctor fish (Tinca tinca) is a fresh- and brackish-water fish of the order Cypriniformes found throughout Eurasia from Western Europe including the British Isles east into Asia as far as the Ob and Yenisei Rivers.
tendon,A tendon or sinew is a tough band of dense fibrous connective tissue that connects muscle to bone.
tendril,"In botany, a tendril is a specialized stem, leaf or petiole with a threadlike shape used by climbing plants for support and attachment, as well as cellular invasion by parasitic plants such as Cuscuta."
tenement,"A tenement is a type of building shared by multiple dwellings, typically with flats or apartments on each floor and with shared entrance stairway access."
tennis,Tennis is a racket sport that is played either individually against a single opponent (singles) or between two teams of two players each (doubles).
tenonitis,Tenonitis is a rare eye disease that is represented by inflammation of Tenon's capsule.
tenor,A tenor is a type of classical male singing voice whose vocal range lies between the countertenor and baritone voice types.
tenoroon,The tenor bassoon or tenoroon is a member of the bassoon family of double reed woodwind instruments.
tenosynovitis,"Tenosynovitis is the inflammation of the fluid-filled sheath (called the synovium) that surrounds a tendon, typically leading to joint pain, swelling, and stiffness."
tenrec,"A tenrec () is any species of mammal within the afrotherian family Tenrecidae, which is endemic to Madagascar."
tenseness,"In phonology, tenseness or tensing is, most broadly, the pronunciation of a sound with greater muscular effort or constriction than is typical."
tensor,"In mathematics, a tensor is an algebraic object that describes a multilinear relationship between sets of algebraic objects related to a vector space."
tent,"A tent is a shelter consisting of sheets of fabric or other material draped over, attached to a frame of poles or a supporting rope."
tentacle,"In zoology, a tentacle is a flexible, mobile, and elongated organ present in some species of animals, most of them invertebrates."
tenterhook,Tenterhooks or tenter hooks are hooked nails in a device called a tenter.
tentorium,The tentorium (plural tentoria) is a term used to refer to the framework of internal supports within an arthropod head.
tepal,A tepal is one of the outer parts of a flower (collectively the perianth).
tequila,"Tequila (; Spanish: [teˈkila] ) is a distilled beverage made from the blue agave plant, primarily in the area surrounding the city of Tequila 65 km (40 mi) northwest of Guadalajara, and in the Jaliscan Highlands (Los Altos de Jalisco) of the central western Mexican state of Jalisco."
teratology,Teratology is the study of abnormalities of physiological development in organisms during their life span.
teratoma,"A teratoma is a tumor made up of several different types of tissue, such as hair, muscle, teeth, or bone."
terazosin,"Terazosin, sold under the brand name Hytrin among others, is a medication used to treat symptoms of an enlarged prostate and high blood pressure."
terbinafine,"Terbinafine, sold under the brand name Lamisil among others, is an antifungal medication used to treat pityriasis versicolor, fungal nail infections, and ringworm including jock itch and athlete's foot."
terbium,Terbium is a chemical element; it has symbol Tb and atomic number 65.
terce,Terce  is a canonical hour of the Divine Office.
tercet,"A tercet is composed of three lines of poetry, forming a stanza or a complete poem."
teriyaki,"Teriyaki (Kanji: 照り焼き) is a cooking technique in which foods are broiled or grilled with a glaze of soy sauce, mirin, and sugar."
termagant,"In the Middle Ages, Termagant or Tervagant was the name given to a god which European Christians believed Muslims worshipped."
terminology,"Terminology is a group of specialized words and respective meanings in a particular field, and also the study of such terms and their use; the latter meaning is also known as terminology science."
termite,"Termites are a group of detritophagous eusocial insects which consume a wide variety of decaying plant material, generally in the form of wood, leaf litter, and soil humus."
tern,"Terns are seabirds in the family Laridae that have a worldwide distribution and are normally found near the sea, rivers, or wetlands."
terpene,Terpenes () are a class of natural products consisting of compounds with the formula (C5H8)n for n ≥ 2.
terpsichore,"In Greek mythology, Terpsichore (; Greek: Τερψιχόρη, ""delight in dancing"") is one of the nine Muses and goddess of dance and chorus."
terrain,Terrain or relief (also topographical relief) involves the vertical and horizontal dimensions of land surface.
terrapin,Terrapins are a group of several species of small turtle (order Testudines) living in fresh or brackish water.
terrarium,"A terrarium (pl.: terraria or terrariums) is usually a sealable glass container containing soil and plants that can be opened for maintenance to access the plants inside; however, terraria can also be open to the atmosphere."
terreplein,"In fortification architecture, a terreplein or terre-plein is the top, platform, or horizontal surface of a rampart, on which cannon are placed, protected by a parapet."
terrier,"Terrier (from Latin terra, 'earth') is a type of dog originally bred to hunt vermin."
territory,"A territory is an area of land, sea, or space, belonging or connected to a particular country, person, or animal.In international politics, a territory is usually a geographic area which has not been granted the powers of self-government, i.e."
terrorism,"Terrorism, in its broadest sense, is the use of intentional violence and fear to achieve political or ideological aims."
terry,"Terry is a unisex given name, derived from French Thierry and Theodoric."
terrycloth,"Terrycloth, terry cloth, terry cotton, terry toweling, terry, terry towel, Turkish toweling (formerly), or simply toweling is a fabric woven with many protruding loops of thread which can absorb large amounts of water."
tessella,Tessella was an international analytics and data science consulting services company owned by Capgemini.
tessellation,"A tessellation or tiling is the covering of a surface, often a plane, using one or more geometric shapes, called tiles, with no overlaps and no gaps."
tessera,"A tessera (plural: tesserae, diminutive tessella) is an individual tile, usually formed in the shape of a square, used in creating a mosaic."
tesseract,"In geometry, a tesseract or 4-cube is a four-dimensional hypercube, analogous to a two-dimensional square and a three-dimensional cube."
testator,A testator () is a person who has written and executed a last will and testament that is in effect at the time of their death.
testicle,"A testicle or testis (pl.: testes) is the male gonad in all bilaterians, including humans."
testimonial,"In promotion and advertising, a testimonial or show consists of a person's written or spoken statement extolling the virtue of a product."
testimony,Testimony is a solemn attestation as to the truth of a matter.
testosterone,Testosterone is the primary male sex hormone and androgen in males.
tetanus,"Tetanus, also known as lockjaw, is a bacterial infection caused by Clostridium tetani and characterized by muscle spasms."
tetany,"Tetany or tetanic seizure is a medical sign consisting of the involuntary contraction of muscles, which may be caused by disorders that increase the action potential frequency of muscle cells or the nerves that innervate them."
teth,"Teth, also written as Ṭēth or Tet, is the ninth letter of the Semitic abjads, including Phoenician ṭēt 𐤈, Hebrew 
ṭēt ט, Aramaic ṭēṯ 𐡈, Syriac ṭēṯ ܛ, and Arabic ṭāʾ ط."
tether,"A tether is a cord, fixture, or flexible attachment that characteristically anchors something movable to something fixed; it also may be used to connect two movable objects, such as an item being towed by its tow."
tetherball,Tetherball is a game where two players use their hands to strike a volleyball which is suspended from a stationary metal pole by a rope or tether.
tetra,Tetra is the common name of many small freshwater characiform fishes.
tetracaine,"Tetracaine, also known as amethocaine, is an ester local anesthetic used to numb the eyes, nose, or throat."
tetrachloride,"Tetrachloride may refer to:

Carbon tetrachloride, CCl4, also known as carbon tet
Chromium tetrachloride, CrCl4
Germanium tetrachloride, GeCl4, a colourless liquid used as an intermediate in the production of purified germanium metal
Hafnium tetrachloride, HfCl4
Iridium tetrachloride, IrCl4
Lead tetrachloride, PbCl4
Molybdenum tetrachloride, MoCl4
Niobium tetrachloride, NbCl4
Osmium tetrachloride, OsCl4
Platinum tetrachloride, PtCl4
Polonium tetrachloride, PoCl4
Protactinium tetrachloride, PaCl4
Rhenium tetrachloride, ReCl4
Ruthenium tetrachloride, RuCl4
Rutherfordium tetrachloride, RfCl4, a compound similar but more volatile to hafnium tetrachloride."
tetrachloroethylene,"Tetrachloroethylene, also known under the systematic name tetrachloroethene, or perchloroethylene, and abbreviations such as ""perc"" (or ""PERC""), and ""PCE"", is a chlorocarbon with the formula Cl2C=CCl2."
tetracycline,"Tetracycline, sold under various brand names, is an oral antibiotic in the tetracyclines family of medications, used to treat a number of infections, including acne, cholera, brucellosis, plague, malaria, and syphilis.Common side effects include vomiting, diarrhea, rash, and loss of appetite."
tetrafluoroethylene,Tetrafluoroethylene (TFE) is a fluorocarbon with the chemical formula C2F4.
tetrahedron,"In geometry, a tetrahedron (pl.: tetrahedra or tetrahedrons), also known as a triangular pyramid, is a polyhedron composed of four triangular faces, six straight edges, and four vertex corners."
tetrahydrocannabinol,Tetrahydrocannabinol (THC) is the principal psychoactive constituent of cannabis and one of at least 113 total cannabinoids identified on the plant.
tetrahymena,"Tetrahymena, a unicellular eukaryote, is a genus of free-living ciliates."
tetralogy,"A tetralogy (from Greek τετρα- tetra-, ""four"" and -λογία -logia, ""discourse"") is a compound work that is made up of four distinct works."
tetrameter,"In poetry, a tetrameter is a line of four metrical feet."
tetrapod,"A tetrapod (; from Ancient Greek  τετρα- (tetra-) 'four', and  πούς (poús) 'foot') is any four-limbed vertebrate animal of the superclass Tetrapoda ()."
tetrasaccharide,A tetrasaccharide is a carbohydrate which gives upon hydrolysis four molecules of the same or different monosaccharides.
tetraspore,Tetraspores are red algae spores produced by the tetrasporophytic (diploid) phase in the life history of algae in the Rhodophyta as a result of meiosis.
tetri,Tetri (Georgian: თეთრი) is a fractional currency used in the country of Georgia.
tetrode,A tetrode is a vacuum tube (called valve in British English) having four active electrodes.
tetrodotoxin,Tetrodotoxin (TTX) is a potent neurotoxin.
tetrose,A tetrose is a monosaccharide with 4 carbon atoms.
tetryl,"2,4,6-Trinitrophenylmethylnitramine or tetryl (C7H5N5O8) is an explosive compound used to make detonators and explosive booster charges."
tetterwort,Tetterwort is a common name for several plants in the family Papaveraceae and may refer to:
textbook,A textbook is a book containing a comprehensive compilation of content in a branch of study with the intention of explaining it.
textile,"Textile is an umbrella term that includes various fiber-based materials, including fibers, yarns, filaments, threads, different fabric types, etc."
thalamus,"The thalamus (pl.: thalami; from Greek θάλαμος, ""chamber"") is a large mass of gray matter located in the dorsal part of the diencephalon (a division of the forebrain)."
thalassemia,Thalassemias are inherited blood disorders that result in abnormal hemoglobin.
thalidomide,"Thalidomide, sold under the brand names Contergan and Thalomid among others, is an oral  medication used to treat a number of cancers (e.g."
thallium,Thallium is a chemical element; it has symbol Tl and atomic number 81.
thallophyte,"Thallophytes (Thallophyta, Thallophyto or Thallobionta) are a polyphyletic group of non-motile organisms traditionally described as ""thalloid plants"", ""relatively simple plants"" or ""lower plants""."
thallus,"Thallus (pl.: thalli), from Latinized Greek θαλλός (thallos), meaning ""a green shoot"" or ""twig"", is the vegetative tissue of some organisms in diverse groups such as algae, fungi, some liverworts, lichens, and the Myxogastria."
thalweg,"In geography, hydrography, and fluvial geomorphology, a thalweg or talweg () is the line or curve of lowest elevation within a valley or watercourse."
thanatology,Thanatology is the scientific study of death and the losses brought about as a result.
thanatopsis,"""Thanatopsis"" is an early poem by the American poet William Cullen Bryant."
thane,"Thane (Marathi: [ˈʈʰaːɳeː]; also known as Thana, the official name until 1996) is a metropolitan city located on the northwestern side of the state of Maharashtra in India."
thanksgiving,"Thanksgiving is a national holiday celebrated on various dates in October and November in the United States, Canada, Saint Lucia, Liberia, and unofficially in countries like Brazil, Germany and the Philippines."
thaumaturgy,Thaumaturgy is the purported capability of a magician to work magic or other paranormal events or a saint to perform miracles.
theatre,"Theatre or theater is a collaborative form of performing art that uses live performers, usually actors or actresses, to present the experience of a real or imagined event before a live audience in a specific place, often a stage."
theatricality,"""Theatricality"" is the twentieth episode of the American television series Glee."
theca,"In biology, a theca (plural thecae) is a sheath or a covering."
theft,Theft is the act of taking another person's property or services without that person's permission or consent with the intent to deprive the rightful owner of it.
theism,Theism is broadly defined as the belief in the existence of at least one deity.
thelarche,"Thelarche, also known as breast budding, is the onset of secondary breast development, often representing the beginning of pubertal development."
theocracy,"Theocracy is a form of government in which one or more deities are recognized as supreme ruling authorities, giving divine guidance to human intermediaries who manage the government's daily affairs."
theodicy,"In the philosophy of religion, a theodicy (; meaning 'vindication of God', from Ancient Greek θεός theos, ""god"" and δίκη dikē, ""justice"") is an argument that attempts to resolve the problem of evil that arises when omnipotence, omnibenevolence, and omniscience are all simultaneously ascribed to God."
theodolite,A theodolite () is a precision optical instrument for measuring angles between designated visible points in the horizontal and vertical planes.
theogony,"The Theogony (Greek: Θεογονία, Theogonía, Attic Greek: [tʰeoɡoníaː], i.e."
theology,"Theology is the systematic study of the nature of the divine, or more broadly of religious belief."
theophany,"Theophany (Ancient Greek: (ἡ) θεοφάνεια, romanized: theophaneia, lit. 'appearance of a deity') is an encounter with a deity, in which it manifests in an observable and tangible form."
theophylline,"Theophylline, also known as 1,3-dimethylxanthine, is a drug that inhibits phosphodiesterase and blocks adenosine receptors."
theorem,"In mathematics, a theorem is a statement that has been proved, or can be proved."
theory,"A theory is a rational type of abstract thinking about a phenomenon, or the results of such thinking."
theosophy,Theosophy is a religion established in the United States during the late 19th century.
therapist,A therapist is a person who offers any kinds of therapy.
therapsid,A therapsid is a member of the clade Therapsida which is a major group of eupelycosaurian synapsids that includes mammals and their ancestors and relatives.
therapy,"A therapy or medical treatment is the attempted remediation of a health problem, usually following a medical diagnosis."
theremin,"The theremin (; originally known as the ætherphone, etherphone, thereminophone or termenvox/ thereminvox) is an electronic musical instrument controlled without physical contact by the performer (who is known as a thereminist)."
therm,"The therm (symbol, thm) is a non-SI unit of heat energy equal to 100,000 British thermal units (BTU), and approximately 105 megajoules, 29 kilowatt-hours, 25200 kilocalories and 25.2 thermies."
thermal,"A thermal column (or thermal) is a rising mass of buoyant air, a convective current in the atmosphere, that transfers heat energy vertically."
thermistor,"A thermistor is a semiconductor type of resistor whose resistance is strongly dependent on temperature, more so than in standard resistors."
thermoacidophile,"A thermoacidophile is an extremophilic microorganism that is both thermophilic and acidophilic; i.e., it can grow under conditions of high temperature and low pH. The large majority of thermoacidophiles are archaea (particularly the Thermoproteota and ""Euryarchaeota"") or bacteria, though occasional eukaryotic examples have been reported."
thermochemistry,Thermochemistry is the study of the heat energy which is associated with chemical reactions and/or phase changes such as melting and boiling.
thermocouple,"A thermocouple, also known as a ""thermoelectrical thermometer"", is an electrical device consisting of two dissimilar electrical conductors forming an electrical junction."
thermodynamics,"Thermodynamics is a branch of physics that deals with heat, work, and temperature, and their relation to energy, entropy, and the physical properties of matter and radiation."
thermography,"Infrared thermography (IRT), thermal video and/or thermal imaging, is a process where a thermal camera captures and creates an image of an object by using infrared radiation emitted from the object in a process, which are examples of infrared imaging science."
thermometer,A thermometer is a device that measures temperature (the degree of hotness or coldness of an object) or temperature gradient (the rates of change of temperature in space).
